URL;Titre;Description;ImageFilename
https://www.academiedugout.fr/ingredients/anis-vert_765;Anis étoilé;La badiane chinoise, communément appelée anis étoilé, est le fruit du badianier de Chine, un arbre tropical introduit en Europe au XVIIème siècle. Reconnaissable à sa forme d’étoile à huit branches (carpelles), il trouve sa place en cuisine dans de nombreux apprêts grâce à son parfum intense. Frais, l’anis étoilé est vert. Ce n’est qu’en séchant qu’il prend sa belle couleur d’un marron presque orangé.;fotolia_63956767_subscription_xxl.jpg
https://www.academiedugout.fr/ingredients/capre_835;Câpre;La câpre est le bouton d’une fleur ou le fruit d’un arbrisseau, le câprier, qui pousse depuis toujours à l’état sauvage dans l’ensemble du Bassin méditerranéen. Salée et vinaigrée, c’est un condiment très employé dans toute la cuisine méditerranéenne.Le câprier a commencé à être cultivé au XIIIe siècle par les Italiens. Les Français s’y intéressèrent au XVIe siècle, puis les Espagnols, au XIXe siècle. Au début du XXe siècle, cette culture s’est installée au Maroc qui est devenu, avec l’Espagne et la France, l’un des plus gros exportateurs. Mais les câpres étaient déjà consommées dans l’Antiquité par les Grecs et les Romains. Ceux-ci les appréciaient surtout dans les plats de poisson et en parfumaient des sauces. On trouve dans Le Cuisinier François de La Varenne (1651) une recette de potage de trumeau de bœuf qui contient des câpres. Dans Le Cuisinier royal (1691), Massialot publie la recette d’une sauce, la ramolade, composée d’anchois, de câpres hachées et de persil.;capres_000.jpg
https://www.academiedugout.fr/ingredients/cardamome_304;Cardamome;Originaire d’Inde, plus précisément de la côte de Malabar, la cardamome est la graine d’une plante vivace. Enfermée dans sa gousse verte, elle possède une saveur inimitable, chaude, poivrée et légèrement citronnée. Les graines sont brunes ou noires et collent légèrement. Cette épice, largement répandue dans la cuisine orientale, est une des plus chères du monde après le safran. Une petite quantité suffit à parfumer un plat ou relever une boisson.;fotolia_41530699_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/cannelle_656;Cannelle;Cette épice venue de Ceylan (ancien nom du Sri Lanka) et de Chine se récolte deux fois par an. Elle vient du cannelier, un arbre dont l’écorce est raclée puis découpée en lanières. Ces lanières, une fois séchée au soleil, donnent les bâtonnets que l’on connaît. Son usage est ancestral : on mentionne son existence dans des traités botaniques chinois datés de plusieurs milliers d’années avant Jésus-Christ. Réduite en poudre, elle entre dans la composition de recettes sucrées ou salées.;fotolia_41563753_subscription_l-copy.jpg
https://www.academiedugout.fr/ingredients/clou-de-girofle_664;Clou de girofle;Le clou de girofle est issu des fleurs du giroflier, arbre très répandu en Indonésie. Rouge au moment de sa cueillette, il se teinte de brun après séchage. Le clou de girofle doit son nom à sa forme caractéristique. Cette épice est notamment connue pour ces vertus antiseptiques et anesthésiques. Mâcher des clous de girofle permettrait ainsi de calmer une rage de dents.;fotolia_12924376_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/cumin_305;Cumin;Consommé depuis des millénaires, le cumin est une plante aromatique annuelle méditerranéenne. Sa tige, fragile et ramifiée, peut atteindre 50 centimètres de hauteur. Ses fleurs (blanches ou légèrement rosées) donnent des graines oblongues, striées, d’un brun tirant sur le jaune. La récolte se fait lorsque les cosses sont brunes. A ne pas confondre avec le « cumin des prés » (qui est en fait lecarvi), moins parfumé.;fotolia_38245195_subscription_l-copy.jpg
https://www.academiedugout.fr/ingredients/curcuma_335;Curcuma;Le curcuma est, comme le gingembre, le rhizome d’une plante herbacée. Cultivé dans les pays tropicaux (Inde, Chine, Indonésie), il est consommé depuis des millénaires. Le curcuma est également réputé pour soigner les douleurs dorsales, les indigestions ou la toux. Moulu, il a la même teinte orangée que le safran : les deux contiennent de la curcumine, un pigment orange. On le surnomme d'ailleurs « safran des Indes », d'où le fait qu’on essaye parfois de faire passer le curcuma pour du safran : attention donc aux contrefaçons.;fotolia_51686150_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/curry_306;Curry;Un curry peut désigner aussi bien un type de plat (généralement d’inspiration indienne, mais aussi Thaï) que le mélange d’épices qui entre dans la composition de ces plats. Les variations sont illimitées : tout dépend du nombre d’épices utilisées pour le curry, de leur dosage ou de leur saveur, de la plus douce à la plus pimentée. Certaines recettes de currys peuvent ainsi nécessiter une centaines d’épices ! De manière générale, on ne compte plus raisonnablement qu’une quinzaine d’épices.;fotolia_52317494_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/gingembre_674;Gingembre;Originaire d’Asie, le gingembre (Zingiber officinale) est une plante dont le rhizome est utilisé en cuisine en tant qu’épice. Goûteux et fibreux, ce rhizome est utilisé dans la gastronomie de bien des régions du globe, dans des préparations sucrées ou salées et même en boisson. En plus de relever une multitude de plats, le gingembre aurait également des propriétés bienfaisantes pour la santé humaine. Depuis des milliers d’années, on l’utilise pour faciliter la digestion, pour lutter contre la nausée et même comme aphrodisiaque.;fotolia_46892235_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/graines-de-pavot_433;Graines de pavot;Les graines de pavot sont extraites des capsules des fleurs de pavot arrivées à maturité. Ces oléagineuses peuvent être noires bleutées, jaunes ou blanches. Très utilisées dans la cuisine de l’Europe de l’Est et centrale pour des préparations aussi bien sucrées que salées, ces graines croquantes au léger goût de noisette bénéficient d’un regain d’intérêt dans la cuisine occidentale. Les graines de pavot renferment de plus de nombreux nutriments dont le calcium et la vitamine B.;graine-de-pavot-copy.jpg
